Datum,Temperatura
1980-01-1,6.5
1980-02-1,7.8
1980-03-1,10.6
1980-04-1,13.8
1980-05-1,17.2
1980-06-1,21.1
1980-07-1,23.4
1980-08-1,23.3
1980-09-1,19.9
1980-10-1,14.6
1980-11-1,10.2
1980-12-1,6.7
1981-01-1,4.9
1981-02-1,7.2
1981-03-1,10.2
1981-04-1,12.9
1981-05-1,16.4
1981-06-1,20.4
1981-07-1,24.1
1981-08-1,23.8
1981-09-1,19.7
1981-10-1,13.6
1981-11-1,9.2
1981-12-1,6.5
1982-01-1,6.3
1982-02-1,7.3
1982-03-1,9.9
1982-04-1,13.1
1982-05-1,16.2
1982-06-1,20.2
1982-07-1,23.1
1982-08-1,23.7
1980-01-1,7.3
1980-02-1,6.8
1980-03-1,9.1
1980-04-1,12.7
1980-05-1,16.9
1980-06-1,21.1
1980-07-1,23.7
1980-08-1,23.8
1980-09-1,20.6
1980-10-1,16.1
1980-11-1,11.2
1980-12-1,8.5
1981-01-1,6.6
1981-02-1,6.3
1981-03-1,9.0
1981-04-1,12.3
1981-05-1,17.3
1981-06-1,21.4
1981-07-1,24.1
1981-08-1,23.6
1981-09-1,20.4
1981-10-1,15.7
1981-11-1,11.0
1981-12-1,7.6
1982-01-1,7.8
1982-02-1,6.3
1982-03-1,8.5
1982-04-1,11.6
1982-05-1,16.3
1982-06-1,20.5
1982-07-1,23.7
1982-08-1,24.0
1982-09-1,21.0
1982-10-1,16.0
1982-11-1,11.1
1982-12-1,8.4
1983-01-1,7.6
1983-02-1,6.1
1983-03-1,8.4
1983-04-1,12.5
1983-05-1,16.2
1983-06-1,21.1
1983-07-1,24.0
1983-08-1,24.5
1983-09-1,20.3
1983-10-1,15.6
1983-11-1,10.2
1983-12-1,7.5
1984-01-1,7.3
1984-02-1,5.6
1984-03-1,9.0
1984-04-1,12.4
1984-05-1,16.4
1984-06-1,20.4
1984-07-1,22.8
1984-08-1,23.5
1984-09-1,19.7
1984-10-1,15.6
1984-11-1,10.3
1984-12-1,6.5
1985-01-1,6.6
1985-02-1,5.2
1985-03-1,8.3
1985-04-1,12.3
1985-05-1,15.9
1985-06-1,19.8
1985-07-1,23.4
1985-08-1,23.2
1985-09-1,19.6
1985-10-1,15.4
1985-11-1,11.4
1985-12-1,7.9
1986-01-1,7.8
1986-02-1,7.3
1986-03-1,8.3
1986-04-1,11.9
1986-05-1,16.6
1986-06-1,20.2
1986-07-1,23.9
1986-08-1,23.8
1986-09-1,19.6
1986-10-1,15.0
1986-11-1,10.2
1986-12-1,7.8
1987-01-1,6.1
1987-02-1,5.8
1987-03-1,9.6
1987-04-1,12.1
1987-05-1,17.1
1987-06-1,20.5
1987-07-1,23.4
1987-08-1,23.4
1987-09-1,19.5
1987-10-1,15.7
1987-11-1,10.3
1987-12-1,7.4
1988-01-1,7.0
1988-02-1,6.6
1988-03-1,9.2
1988-04-1,12.2
1988-05-1,16.1
1988-06-1,21.0
1988-07-1,22.7
1988-08-1,23.3
1988-09-1,20.1
1988-10-1,14.9
1988-11-1,10.5
1988-12-1,8.0
1989-01-1,5.8
1989-02-1,6.3
1989-03-1,8.3
1989-04-1,12.2
1989-05-1,16.5
1989-06-1,20.1
1989-07-1,23.5
1989-08-1,23.3
1989-09-1,19.7
1989-10-1,15.8
1989-11-1,10.5
1989-12-1,7.6
1990-01-1,7.6
1990-02-1,6.0
1990-03-1,9.2
1990-04-1,11.9
1990-05-1,16.7
1990-06-1,20.3
1990-07-1,23.3
1990-08-1,23.8
1990-09-1,19.5
1990-10-1,14.8
1990-11-1,9.6
1990-12-1,8.4
1991-01-1,6.1
1991-02-1,7.4
1991-03-1,9.6
1991-04-1,12.1
1991-05-1,16.2
1991-06-1,20.2
1991-07-1,23.4
1991-08-1,22.9
1991-09-1,19.6
1991-10-1,15.3
1991-11-1,11.1
1991-12-1,7.8
1992-01-1,7.0
1992-02-1,6.2
1992-03-1,10.0
1992-04-1,12.3
1992-05-1,16.5
1992-06-1,19.7
1992-07-1,23.5
1992-08-1,23.5
1992-09-1,19.8
1992-10-1,15.2
1992-11-1,10.1
1992-12-1,7.5
1993-01-1,7.2
1993-02-1,6.7
1993-03-1,8.7
1993-04-1,11.3
1993-05-1,16.0
1993-06-1,20.2
1993-07-1,23.2
1993-08-1,23.6
1993-09-1,19.7
1993-10-1,15.2
1993-11-1,10.1
1993-12-1,7.9
1994-01-1,7.3
1994-02-1,6.5
1994-03-1,8.8
1994-04-1,12.4
1994-05-1,16.6
1994-06-1,19.7
1994-07-1,23.0
1994-08-1,24.2
1994-09-1,20.0
1994-10-1,15.8
1994-11-1,9.9
1994-12-1,8.5
1995-01-1,6.7
1995-02-1,7.2
1995-03-1,9.2
1995-04-1,13.0
1995-05-1,16.8
1995-06-1,21.5
1995-07-1,23.8
1995-08-1,23.5
1995-09-1,19.2
1995-10-1,15.7
1995-11-1,9.6
1995-12-1,7.8
1996-01-1,6.4
1996-02-1,8.4
1996-03-1,10.0
1996-04-1,13.0
1996-05-1,16.4
1996-06-1,20.6
1996-07-1,24.2
1996-08-1,23.9
1996-09-1,20.3
1996-10-1,15.6
1996-11-1,11.0
1996-12-1,8.6
1997-01-1,7.1
1997-02-1,6.4
1997-03-1,9.4
1997-04-1,12.0
1997-05-1,16.2
1997-06-1,20.0
1997-07-1,24.0
1997-08-1,24.0
1997-09-1,19.3
1997-10-1,14.9
1997-11-1,9.9
1997-12-1,8.0
1998-01-1,6.3
1998-02-1,7.5
1998-03-1,9.8
1998-04-1,12.5
1998-05-1,16.2
1998-06-1,20.5
1998-07-1,24.2
1998-08-1,23.8
1998-09-1,19.9
1998-10-1,15.3
1998-11-1,10.2
1998-12-1,8.5
1999-01-1,5.9
1999-02-1,6.3
1999-03-1,9.5
1999-04-1,12.6
1999-05-1,16.7
1999-06-1,20.4
1999-07-1,23.8
1999-08-1,24.0
1999-09-1,19.6
1999-10-1,14.9
1999-11-1,10.2
1999-12-1,7.7
2000-01-1,4.9
2000-02-1,5.8
2000-03-1,9.2
2000-04-1,12.3
2000-05-1,16.8
2000-06-1,21.4
2000-07-1,24.1
2000-08-1,23.9
2000-09-1,20.9
